Principio Attivo,Descrizione Gruppo,Denominazione e Confezione,Titolare AIC,AIC,ATC CODE,Codice Gruppo Equivalenza,Class,4.1 Therapeutic indications,4.2 Posology and method of administration,4.3 Contraindications,4.4 Special warnings and precautions for use,4.5 Interactions with other medicinal products,"4.6 Fertility, pregnancy and lactation",4.7 Effects on ability to drive and use machines,4.8 Undesirable effects (side effects),4.9 Overdose,6.2 Incompatibilities
Octreotide,OCTREOTIDE 50MCG 5 UNITA' USO PARENTERALE,SIROCTID*5 siringhe 1 ml 50 mcg/ml,CHEMI SpA,39101011,,E2B,A,Controllo sintomatico e riduzione dei livelli plasmatici di ormone della crescita (GH) e di IGF-1 in pazienti con acromegalia non adeguatamente controllata mediante chirurgia o radioterapia.,"Dose iniziale: 0,05 - 0,1 mg per iniezione sottocutanea (s.c.) ogni 8 o 12 ore. Laggiustamento del dosaggio deve basarsi sulla valutazione mensile dei livelli di GH e IGF-1 (target: GH",Ipersensibilità nota al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1.,"Talvolta i tumori dellipofisi secernenti lormone della crescita (GH) possono espandersi causando gravi complicanze (ad es. difetti del campo visivo), è quindi essenziale monitorare attentamente tutti i pazienti. In caso di evidente espansione del tumore, ricorrere a procedure alternative.","In caso di somministrazione concomitante di octreotide possono rendersi necessari aggiustamenti della dose di medicinali quali beta bloccanti, bloccanti dei canali del calcio o agenti per il controllo del bilancio dei liquidi e degli elettroliti","Gravidanza Vi è un numero limitato di dati (meno di 300 esiti di gravidanza) sulluso di octreotide in donne incinte e in circa un terzo dei casi, gli esiti della gravidanza non sono noti",Loctreotide non altera o altera in misura trascurabile la capacità di guidare veicoli o di usare macchinari,"Le reazioni avverse più frequenti segnalate durante il trattamento con octreotide comprendono disturbi gastrointestinali, disturbi a carico del sistema nervoso, disturbi epatobiliari e disturbi del metabolismo e nutrizionali.",È stato segnalato un numero limitato di casi di sovradosaggio accidentale con loctreotide negli adulti e nei bambini,Questo medicinale non deve essere miscelato con altri medicinali ad eccezione di quelli riportati nel paragrafo 6.6
Octreotide,OCTREOTIDE 50MCG 5 UNITA' USO PARENTERALE,"OCTREOTIDE*5 fiale EV SC 0,05 mg 1 ml",SUN PHARMACEUTICAL IND.EU.B.V.,41156011,,E2B,A,Controllo sintomatico e riduzione dei livelli plasmatici di ormone della crescita (GH) e di IGF-1 in pazienti con acromegalia non adeguatamente controllata mediante chirurgia o radioterapia.,"Dose iniziale: 0,05 - 0,1 mg per iniezione sottocutanea (s.c.) ogni 8 o 12 ore. Laggiustamento del dosaggio deve basarsi sulla valutazione mensile dei livelli di GH e IGF-1 (target: GH",Ipersensibilità nota al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1.,"Talvolta i tumori dellipofisi secernenti lormone della crescita (GH) possono espandersi causando gravi complicanze (ad es. difetti del campo visivo), è quindi essenziale monitorare attentamente tutti i pazienti. In caso di evidente espansione del tumore, ricorrere a procedure alternative.","In caso di somministrazione concomitante di octreotide possono rendersi necessari aggiustamenti della dose di medicinali quali beta bloccanti, bloccanti dei canali del calcio o agenti per il controllo del bilancio dei liquidi e degli elettroliti","Gravidanza Vi è un numero limitato di dati (meno di 300 esiti di gravidanza) sulluso di octreotide in donne incinte e in circa un terzo dei casi, gli esiti della gravidanza non sono noti",Loctreotide non altera o altera in misura trascurabile la capacità di guidare veicoli o di usare macchinari,"Le reazioni avverse più frequenti segnalate durante il trattamento con octreotide comprendono disturbi gastrointestinali, disturbi a carico del sistema nervoso, disturbi epatobiliari e disturbi del metabolismo e nutrizionali.",È stato segnalato un numero limitato di casi di sovradosaggio accidentale con loctreotide negli adulti e nei bambini,Questo medicinale non deve essere miscelato con altri medicinali ad eccezione di quelli riportati nel paragrafo 6.6
Octreotide,OCTREOTIDE 1MG 1 UNITA' USO PARENTERALE,OCTREOTIDE*1 flaconcino SC EV 5 ml 1 mg/5 ml,BIOINDUSTRIA L.I.M. SpA,40014045,,E2C,A,Controllo sintomatico e riduzione dei livelli plasmatici dellormone della crescita (GH) e IGF-1 in pazienti con acromegalia non adeguatamente controllati con terapia chirurgica o radioterapia.,"Iniziare con una dose di 0,05 mg per una o due volte al giorno per via sottocutanea.","Ipersensibilità al principio attivo, octreotide, o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1.","Poiché i tumori ipofisari GH-secernenti possono talvolta espandersi causando serie complicazioni (ad esempio alterazioni del campo visivo), è essenziale un attento monitoraggio di tutti i pazienti. In caso di espansione del tumore deve essere valutata la possibilità di altre procedure alternative.","Può essere necessario un aggiustamento del dosaggio di farmaci quali beta-bloccanti, calcio- antagonisti, o agenti per il controllo del bilancio idro-elettrolitico quando Octreotide Bioindustria L.I.M. è somministrata contemporaneamente",I dati relativi alluso di octreotide in donne in gravidanza sono in numero limitato (meno di 300 gravidanze esposte) e in circa un terzo dei casi i risultati della gravidanza sono sconosciuti.,Octreotide Bioindustria L.I.M. non altera o altera in modo trascurabile la capacità di guidare veicoli o di usare macchinari.,"Le reazioni avverse più frequentemente riportate durante la terapia con octreotide comprendono disturbi gastrointestinali, disturbi del sistema nervoso, disturbi epatobiliari, del metabolismo e della nutrizione",È stato riportato un numero limitato di casi di sovradosaggio accidentale di octreotide in adulti e bambini.,Questo medicinale non deve essere miscelato con altri medicinali ad eccezione di quelli menzionati nel paragrafo 6.6. Octreotide acetato non è stabile nelle soluzioni di nutrizione parenterale totale (NPT).
Octreotide,OCTREOTIDE 1MG 1 UNITA' USO PARENTERALE,OCTREOTIDE*1 flaconcino SC 1 mg 5 ml,SUN PHARMACEUTICAL IND.EU.B.V.,41156047,,E2C,A,Controllo sintomatico e riduzione dei livelli plasmatici di ormone della crescita (GH) e di IGF-1 in pazienti con acromegalia non adeguatamente controllata mediante chirurgia o radioterapia.,"Dose iniziale: 0,05 - 0,1 mg per iniezione sottocutanea (s.c.) ogni 8 o 12 ore. Laggiustamento del dosaggio deve basarsi sulla valutazione mensile dei livelli di GH e IGF-1 (target: GH",Ipersensibilità nota al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1.,"Talvolta i tumori dellipofisi secernenti lormone della crescita (GH) possono espandersi causando gravi complicanze (ad es. difetti del campo visivo), è quindi essenziale monitorare attentamente tutti i pazienti. In caso di evidente espansione del tumore, ricorrere a procedure alternative.","In caso di somministrazione concomitante di octreotide possono rendersi necessari aggiustamenti della dose di medicinali quali beta bloccanti, bloccanti dei canali del calcio o agenti per il controllo del bilancio dei liquidi e degli elettroliti","Gravidanza Vi è un numero limitato di dati (meno di 300 esiti di gravidanza) sulluso di octreotide in donne incinte e in circa un terzo dei casi, gli esiti della gravidanza non sono noti",Loctreotide non altera o altera in misura trascurabile la capacità di guidare veicoli o di usare macchinari,"Le reazioni avverse più frequenti segnalate durante il trattamento con octreotide comprendono disturbi gastrointestinali, disturbi a carico del sistema nervoso, disturbi epatobiliari e disturbi del metabolismo e nutrizionali.",È stato segnalato un numero limitato di casi di sovradosaggio accidentale con loctreotide negli adulti e nei bambini,Questo medicinale non deve essere miscelato con altri medicinali ad eccezione di quelli riportati nel paragrafo 6.6
Octreotide,OCTREOTIDE 500MCG 5 UNITA' USO PARENTERALE,TREOJECT*5 siringhe SC EV 1 ml 500 mcg/ml,LIFEPHARMA SpA,39100072,,E2D,A,Controllo sintomatico e riduzione dei livelli plasmatici di ormone della crescita (GH) e di IGF-1 in pazienti con acromegalia non adeguatamente controllata mediante chirurgia o radioterapia.,"Dose iniziale: 0,05 - 0,1 mg per iniezione sottocutanea (s.c.) ogni 8 o 12 ore. Laggiustamento del dosaggio deve basarsi sulla valutazione mensile dei livelli di GH e IGF-1 (target: GH",Ipersensibilità nota al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1.,"Talvolta i tumori dellipofisi secernenti lormone della crescita (GH) possono espandersi causando gravi complicanze (ad es. difetti del campo visivo), è quindi essenziale monitorare attentamente tutti i pazienti","In caso di somministrazione concomitante di octreotide possono rendersi necessari aggiustamenti della dose di medicinali quali beta bloccanti, bloccanti dei canali del calcio o agenti per il controllo del bilancio dei liquidi e degli elettroliti","Vi è un numero limitato di dati (meno di 300 esiti di gravidanza) sulluso di octreotide in donne incinte e in circa un terzo dei casi, gli esiti della gravidanza non sono noti.",Loctreotide non altera o altera in misura trascurabile la capacità di guidare veicoli o di usare macchinari,"Le reazioni avverse più frequenti segnalate durante il trattamento con octreotide comprendono disturbi gastrointestinali, disturbi a carico del sistema nervoso, disturbi epatobiliari e disturbi del metabolismo e nutrizionali.","È stato segnalato un numero limitato di casi di sovradosaggio accidentale con loctreotide negli adulti e nei bambini. Negli adulti, le dosi hanno raggiunto 2.400-6.000 microgrammi/giorno somministrati per infusione continua (100-250 microgrammi/ora) o sottocutanea (1.500 microgrammi tre volte al giorno).",Questo medicinale non deve essere miscelato con altri medicinali ad eccezione di quelli riportati nel paragrafo 6.6.
Octreotide,OCTREOTIDE 500MCG 5 UNITA' USO PARENTERALE,SIROCTID*5 siringhe SC EV 1 ml 500 mcg/ml,CHEMI SpA,39101074,,E2D,A,Controllo sintomatico e riduzione dei livelli plasmatici dellormone della crescita (GH) e IGF-1 in pazienti con acromegalia non adeguatamente controllati con terapia chirurgia o radioterapia.,"Iniziare con Siroctid 0,05  0,1 mg ogni 8 o 12 ore per via sottocutanea.",Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1.,"Poichè i tumori ipofisari GH-secernenti possono talvolta espandersi causando serie complicazioni (ad esempio alterazioni del campo visivo), è essenziale un attento monitoraggio di tutti i pazienti.","Può essere necessario un aggiustamento del dosaggio di farmaci quali beta-bloccanti, calcio antagonisti, o agenti per il controllo del bilancio idro-elettrico quando Siroctid è somministrato contemporaneamente",I dati relativi alluso di octreotide in donne in gravidanza sono in numero limitato (meno di 300 gravidanze esposte) e in circa un terzo dei casi i risultati della gravidanza sono sconosciuti.,Siroctid non altera o altera in modo trascurabile la capacità di guidare veicoli o di usare macchinari.,"Le reazioni avverse più frequentemente riportate durante la terapia con octreotide comprendono disturbi gastrointestinali, disturbi del sistema nervoso, disturbi epatobiliari e disturbi del metabolismo e della nutrizione.",E stato riportato un numero limitato di casi di sovradosaggio accidentale di Siroctid in adulti e bambini.,Questo medicinale non deve essere miscelato con altri prodotti ad eccezione di quelli menzionati nel paragrafo 6.6.
Octreotide,OCTREOTIDE 500MCG 5 UNITA' USO PARENTERALE,"OCTREOTIDE*5 fiale 0,5 mg 1 ml",SUN PHARMACEUTICAL IND.EU.B.V.,41156035,,E2D,A,Controllo sintomatico e riduzione dei livelli plasmatici di ormone della crescita (GH) e di IGF-1 in pazienti con acromegalia non adeguatamente controllata mediante chirurgia o radioterapia.,"Dose iniziale: 0,05 - 0,1 mg per iniezione sottocutanea (s.c.) ogni 8 o 12 ore. Laggiustamento del dosaggio deve basarsi sulla valutazione mensile dei livelli di GH e IGF-1 (target: GH",Ipersensibilità nota al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1.,"Talvolta i tumori dellipofisi secernenti lormone della crescita (GH) possono espandersi causando gravi complicanze (ad es. difetti del campo visivo), è quindi essenziale monitorare attentamente tutti i pazienti","In caso di somministrazione concomitante di octreotide possono rendersi necessari aggiustamenti della dose di medicinali quali beta bloccanti, bloccanti dei canali del calcio o agenti per il controllo del bilancio dei liquidi e degli elettroliti","Vi è un numero limitato di dati (meno di 300 esiti di gravidanza) sulluso di octreotide in donne incinte e in circa un terzo dei casi, gli esiti della gravidanza non sono noti.",Loctreotide non altera o altera in misura trascurabile la capacità di guidare veicoli o di usare macchinari.,"Le reazioni avverse più frequenti segnalate durante il trattamento con octreotide comprendono disturbi gastrointestinali, disturbi a carico del sistema nervoso, disturbi epatobiliari e disturbi del metabolismo e nutrizionali.",È stato segnalato un numero limitato di casi di sovradosaggio accidentale con loctreotide negli adulti e nei bambini.,Questo medicinale non deve essere miscelato con altri medicinali ad eccezione di quelli riportati nel paragrafo 6.6.
Octreotide,OCTREOTIDE 10MG 1 UNITA' USO PARENTERALE,SANDOSTATINA LAR*1 flacone IM 10 mg + siringa 2 ml + 1 ago,NOVARTIS FARMA SpA,27083082,,E2F,A,Controllo sintomatico e riduzione dei livelli plasmatici dellormone della crescita (GH) e IGF-1 in pazienti con acromegalia non adeguatamente controllati con terapia chirurgica o radioterapia,"Iniziare con Sandostatina 0,05 - 0,1 mg ogni 8 o 12 ore per via sottocutanea",Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1,"Poichè i tumori ipofisari GH-secernenti possono talvolta espandersi causando serie complicazioni (ad esempio alterazioni del campo visivo), è essenziale un attento monitoraggio di tutti i pazienti. In caso di espansione del tumore deve essere valutata la possibilità di procedure alternative.","Può essere necessario un aggiustamento del dosaggio di farmaci quali beta-bloccanti, calcio-antagonisti, o agenti per il controllo del bilancio idro-elettrolitico quando Sandostatina è somministrata contemporaneamente",I dati relativi alluso di octreotide in donne in gravidanza sono in numero limitato (meno di 300 gravidanze esposte) e in circa un terzo dei casi i risultati della gravidanza sono sconosciuti,"Sandostatina non altera o altera in modo trascurabile la capacità di guidare veicoli o di usare macchinari. I pazienti devono essere avvisati ad usare cautela quando guidano o usano macchinari se manifestano capogiri, astenia/affaticamento o mal di testa durante il trattamento con Sandostatina.","Le reazioni avverse più frequentemente riportate durante la terapia con octreotide comprendono disturbi gastrointestinali, disturbi del sistema nervoso, disturbi epatobiliari e disturbi del metabolismo e della nutrizione.","E stato riportato un numero limitato di casi di sovradosaggio accidentale di Sandostatina in adulti e bambini. Negli adulti, le dosi variavano da 2.400 a 6.000 microgrammi/die somministrati per infusione continua (100 250 microgrammi/ora) o per via sottocutanea (1.500 microgrammi tre volte al giorno).",Questo medicinale non deve essere miscelato con altri medicinali ad eccezione di quelli menzionati nel paragrafo 6.6. Octreotide acetato non è stabile nelle soluzioni di nutrizione parenterale totale (NPT).
Octreotide,OCTREOTIDE 10MG 1 UNITA' USO PARENTERALE,LONGASTATINA LAR*1 flacone IM 10 mg + siringa 2 ml + 1 ago,NOVARTIS FARMA SpA,27104088,,E2F,A,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
Octreotide,OCTREOTIDE 10MG 1 UNITA' USO PARENTERALE,OCTREOTIDE*1 flacone polv sosp iniett 10 mg + 1 siringa solv 2 ml + adattatore + ago,TEVA B.V.,47854017,,E2F,A,Trattamento di pazienti con acromegalia in cui lintervento chirurgico risulta inappropriato o non efficace o in attesa che la radioterapia raggiunga la massima efficacia,Si raccomanda di iniziare il trattamento con la somministrazione di Octreotide Teva 20 mg a intervalli di 4 settimane per 3 mesi.,Ipersensibilità al principio attivo o a uno qualsiasi degli eccipienti elencati al paragrafo 6.1,"Poiché i tumori ipofisari GH-secernenti possono talvolta espandersi causando serie complicazioni (ad es. alterazioni del campo visivo), è essenziale un attento monitoraggio di tutti i pazienti.","Può essere necessario un aggiustamento del dosaggio di farmaci quali beta-bloccanti, calcio antagonisti o agenti per il controllo del bilancio idro-elettrolitico quando Octreotide Teva è somministrato contemporaneamente",I dati relativi alluso di octreotide in donne in gravidanza sono in numero limitato (meno di 300 gravidanze esposte) e in circa un terzo dei casi i risultati della gravidanza sono sconosciuti,Octreotide Teva non altera o altera in modo trascurabile la capacità di guidare veicoli o di usare macchinari.,"Le reazioni avverse più frequentemente riportate durante la terapia con octreotide comprendono disturbi gastrointestinali, disturbi del sistema nervoso, disturbi epatobiliari e disturbi del metabolismo e della nutrizione",È stato riportato un numero limitato di casi di sovradosaggio accidentale di octreotide preparazione iniettabile a rilascio prolungato. Le dosi variavano da 100 mg a 163 mg/mese di octreotide preparazione iniettabile a rilascio prolungato.,"In assenza di studi di compatibilità, questo medicinale non deve essere miscelato con altri medicinali."
Octreotide,OCTREOTIDE 20MG 1 UNITA' USO PARENTERALE,SANDOSTATINA LAR*1 flacone IM 20 mg + siringa 2 ml + 1 ago,NOVARTIS FARMA SpA,27083094,,E2G,A,Controllo sintomatico e riduzione dei livelli plasmatici dellormone della crescita (GH) e IGF-1 in pazienti con acromegalia non adeguatamente controllati con terapia chirurgica o radioterapia.,"Iniziare con Sandostatina 0,05 - 0,1 mg ogni 8 o 12 ore per via sottocutanea.",Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1.,"Poichè i tumori ipofisari GH-secernenti possono talvolta espandersi causando serie complicazioni (ad esempio alterazioni del campo visivo), è essenziale un attento monitoraggio di tutti i pazienti.","Può essere necessario un aggiustamento del dosaggio di farmaci quali beta-bloccanti, calcio-antagonisti, o agenti per il controllo del bilancio idro-elettrolitico quando Sandostatina è somministrata contemporaneamente",I dati relativi alluso di octreotide in donne in gravidanza sono in numero limitato (meno di 300 gravidanze esposte) e in circa un terzo dei casi i risultati della gravidanza sono sconosciuti. La maggior parte delle segnalazioni sono pervenute dopo la commercializzazione di octreotide e oltre il 50% di gravidanze esposte sono state riportate in pazienti acromegaliche,"Sandostatina non altera o altera in modo trascurabile la capacità di guidare veicoli o di usare macchinari. I pazienti devono essere avvisati ad usare cautela quando guidano o usano macchinari se manifestano capogiri, astenia/affaticamento o mal di testa durante il trattamento con Sandostatina.","Le reazioni avverse più frequentemente riportate durante la terapia con octreotide comprendono disturbi gastrointestinali, disturbi del sistema nervoso, disturbi epatobiliari e disturbi del metabolismo e della nutrizione.","E stato riportato un numero limitato di casi di sovradosaggio accidentale di Sandostatina in adulti e bambini. Negli adulti, le dosi variavano da 2.400 a 6.000 microgrammi/die somministrati per infusione continua (100 250 microgrammi/ora) o per via sottocutanea (1.500 microgrammi tre volte al giorno)",Questo medicinale non deve essere miscelato con altri medicinali ad eccezione di quelli menzionati nel paragrafo 6.6. Octreotide acetato non è stabile nelle soluzioni di nutrizione parenterale totale (NPT).
Octreotide,OCTREOTIDE 20MG 1 UNITA' USO PARENTERALE,LONGASTATINA LAR*1 flacone IM 20 mg + siringa 2 ml + 1 ago,NOVARTIS FARMA SpA,27104090,,E2G,A,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
Octreotide,OCTREOTIDE 20MG 1 UNITA' USO PARENTERALE,OCTREOTIDE*1 flacone polv sosp iniett 20 mg + 1 siringa solv 2 ml + adattatore + ago,TEVA B.V.,47854031,,E2G,A,Trattamento di pazienti con acromegalia in cui lintervento chirurgico risulta inappropriato o non efficace o in attesa che la radioterapia raggiunga la massima efficacia.,Si raccomanda di iniziare il trattamento con la somministrazione di Octreotide Teva 20 mg a intervalli di 4 settimane per 3 mesi,Ipersensibilità al principio attivo o a uno qualsiasi degli eccipienti elencati al paragrafo 6.1,"Poiché i tumori ipofisari GH-secernenti possono talvolta espandersi causando serie complicazioni (ad es. alterazioni del campo visivo), è essenziale un attento monitoraggio di tutti i pazienti.","Può essere necessario un aggiustamento del dosaggio di farmaci quali beta-bloccanti, calcio antagonisti o agenti per il controllo del bilancio idro-elettrolitico quando Octreotide Teva è somministrato contemporaneamente",I dati relativi alluso di octreotide in donne in gravidanza sono in numero limitato (meno di 300 gravidanze esposte) e in circa un terzo dei casi i risultati della gravidanza sono sconosciuti.,ctreotide Teva non altera o altera in modo trascurabile la capacità di guidare veicoli o di usare macchinari,"Le reazioni avverse più frequentemente riportate durante la terapia con octreotide comprendono disturbi gastrointestinali, disturbi del sistema nervoso, disturbi epatobiliari e disturbi del metabolismo e della nutrizione",È stato riportato un numero limitato di casi di sovradosaggio accidentale di octreotide preparazione iniettabile a rilascio prolungato,"In assenza di studi di compatibilità, questo medicinale non deve essere miscelato con altri medicinali."
Octreotide,OCTREOTIDE 30MG 1 UNITA' USO PARENTERALE,SANDOSTATINA LAR*1 flacone IM 30 mg + siringa 2 ml + 1 adattatore + 1 ago,NOVARTIS FARMA SpA,27083106,,E2H,A,"Trattamento di pazienti con acromegalia in cui l’intervento chirurgico risulta inappropriato o non efficace, o in attesa che la radioterapia raggiunga la massima efficacia (vedere paragrafo 4.2).",Si raccomanda di iniziare il trattamento con la somministrazione di Sandostatina LAR 20 mg ad intervalli di 4-settimane per 3 mesi.,Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1.,"Poichè i tumori ipofisari GH-secernenti possono talvolta espandersi causando serie complicazioni (ad esempio alterazioni del campo visivo), è essenziale un attento monitoraggio di tutti i pazienti.","Può essere necessario un aggiustamento del dosaggio di farmaci quali beta-bloccanti, calcio antagonisti, o agenti per il controllo del bilancio idro-elettrolitico quando Sandostatina LAR è somministrata contemporaneamente (vedere paragrafo 4.4).",I dati relativi all’uso di octreotide in donne in gravidanza sono in numero limitato (meno di 300 gravidanze esposte) e in circa un terzo dei casi i risultati della gravidanza sono sconosciuti.,Sandostatina LAR non altera o altera in modo trascurabile la capacità di guidare veicoli o di usare macchinari.,"Le reazioni avverse più frequentemente riportate durante la terapia con octreotide comprendono disturbi gastrointestinali, disturbi del sistema nervoso, disturbi epatobiliari e disturbi del metabolismo e della nutrizione.",E’ stato riportato un numero limitato di casi di sovradosaggio accidentale di Sandostatina LAR.,"In assenza di studi di compatibilità, questo medicinale non deve essere miscelato con altri medicinali."
Octreotide,OCTREOTIDE 30MG 1 UNITA' USO PARENTERALE,LONGASTATINA LAR*1 flacone IM 30 mg + siringa 2 ml + 1 ago,NOVARTIS FARMA SpA,27104102,,E2H,A,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
Octreotide,OCTREOTIDE 30MG 1 UNITA' USO PARENTERALE,OCTREOTIDE*1 flacone polv sosp iniett 30 mg + 1 siringa solv 2 ml + adattatore + ago,TEVA B.V.,47854056,,E2H,A,Trattamento di pazienti con acromegalia in cui l’intervento chirurgico risulta inappropriato o non efficace o in attesa che la radioterapia raggiunga la massima efficacia (vedere paragrafo 4.2),Si raccomanda di iniziare il trattamento con la somministrazione di Octreotide Teva 20 mg a intervalli di 4 settimane per 3 mesi,Ipersensibilità al principio attivo o a uno qualsiasi degli eccipienti elencati al paragrafo 6.1.,"Poiché i tumori ipofisari GH-secernenti possono talvolta espandersi causando serie complicazioni (ad es. alterazioni del campo visivo), è essenziale un attento monitoraggio di tutti i pazienti.","Può essere necessario un aggiustamento del dosaggio di farmaci quali beta-bloccanti, calcio antagonisti o agenti per il controllo del bilancio idro-elettrolitico quando Octreotide Teva è somministrato contemporaneamente (vedere paragrafo 4.4).",I dati relativi all’uso di octreotide in donne in gravidanza sono in numero limitato (meno di 300 gravidanze esposte) e in circa un terzo dei casi i risultati della gravidanza sono sconosciuti.,Octreotide Teva non altera o altera in modo trascurabile la capacità di guidare veicoli o di usare macchinari.,"Le reazioni avverse più frequentemente riportate durante la terapia con octreotide comprendono disturbi gastrointestinali, disturbi del sistema nervoso, disturbi epatobiliari e disturbi del metabolismo e della nutrizione.",È stato riportato un numero limitato di casi di sovradosaggio accidentale di octreotide preparazione iniettabile a rilascio prolungato.,
Octreotide,"OCTREOTIDE 0,05MG 10 UNITA' USO PARENTERALE","OCTREOTIDE*10 fiale SC EV 1 ml 0,05 mg/ml",BIOINDUSTRIA L.I.M. SpA,40014019,,E2I,A,Controllo sintomatico e riduzione dei livelli plasmatici dell’ormone della crescita (GH) e IGF-1 in pazienti con acromegalia non adeguatamente controllati con terapia chirurgica o radioterapia,"Posologia Tumori endocrini gastro-entero-pancreatici Iniziare con una dose di 0,05 mg per una o due volte al giorno per via sottocutanea","Ipersensibilità al principio attivo, octreotide, o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1","Poiché i tumori ipofisari GH-secernenti possono talvolta espandersi causando serie complicazioni (ad esempio alterazioni del campo visivo), è essenziale un attento monitoraggio di tutti i pazienti.","Può essere necessario un aggiustamento del dosaggio di farmaci quali beta-bloccanti, calcio-antagonisti, o agenti per il controllo del bilancio idro-elettrolitico quando Octreotide Bioindustria L.I.M. è somministrata contemporaneamente",I dati relativi all’uso di octreotide in donne in gravidanza sono in numero limitato (meno di 300 gravidanze esposte) e in circa un terzo dei casi i risultati della gravidanza sono sconosciuti.,Octreotide Bioindustria L.I.M. non altera o altera in modo trascurabile la capacità di guidare veicoli o di usare macchinari.,"Le reazioni avverse più frequentemente riportate durante la terapia con octreotide comprendono disturbi gastrointestinali, disturbi del sistema nervoso, disturbi epatobiliari, del metabolismo e della nutrizione",È stato riportato un numero limitato di casi di sovradosaggio accidentale di octreotide in adulti e bambini.,Questo medicinale non deve essere miscelato con altri medicinali ad eccezione di quelli menzionati nel paragrafo 6.6.
Octreotide,"OCTREOTIDE 0,1MG 10 UNITA' USO PARENTERALE","OCTREOTIDE*10 fiale SC EV 1 ml 0,1 mg/ml",BIOINDUSTRIA L.I.M. SpA,40014021,,E2J,A,Controllo sintomatico e riduzione dei livelli plasmatici dell’ormone della crescita (GH) e IGF-1 in pazienti con acromegalia non adeguatamente controllati con terapia chirurgica o radioterapia,"Iniziare con una dose di 0,05 mg per una o due volte al giorno per via sottocutanea.","Ipersensibilità al principio attivo, octreotide, o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1","Poiché i tumori ipofisari GH-secernenti possono talvolta espandersi causando serie complicazioni (ad esempio alterazioni del campo visivo), è essenziale un attento monitoraggio di tutti i pazienti","Può essere necessario un aggiustamento del dosaggio di farmaci quali beta-bloccanti, calcio-antagonisti, o agenti per il controllo del bilancio idro-elettrolitico quando Octreotide Bioindustria L.I.M. è somministrata contemporaneamente",I dati relativi all’uso di octreotide in donne in gravidanza sono in numero limitato (meno di 300 gravidanze esposte) e in circa un terzo dei casi i risultati della gravidanza sono sconosciuti.,Octreotide Bioindustria L.I.M. non altera o altera in modo trascurabile la capacità di guidare veicoli o di usare macchinari.,"Le reazioni avverse più frequentemente riportate durante la terapia con octreotide comprendono disturbi gastrointestinali, disturbi del sistema nervoso, disturbi epatobiliari, del metabolismo e della nutrizione",È stato riportato un numero limitato di casi di sovradosaggio accidentale di octreotide in adulti e bambini.,Questo medicinale non deve essere miscelato con altri medicinali ad eccezione di quelli menzionati nel paragrafo 6.6.
